Matrix,Work
G2_circuit,5194310
thermomech_dM,7671082
Dubcova3,15217339
parabolic_fem,18833308
offshore,21180596
ecology2,27784086
tmt_sym,37040626
shipsec8,17323619
boneS01,24304264
G3_circuit,57472096
shipsec1,18836853
ship_003,15871453
thermal2,64043364
shipsec5,22299936
hood,58815455
BenElechi1,68040470
af_0_k101,96505754
af_1_k101,97631848
af_2_k101,91485958
af_3_k101,96431266
af_4_k101,96587544
af_5_k101,96561746
af_shell3,86292193
af_shell4,86292193
af_shell7,86409435
af_shell8,86409435
bundle_adj,127057426
StocF-1465,125117103
inline_1,170889626
PFlow_742,278182125
ldoor,296359509
boneS10,195149442
Hook_1498,278140337
bone010,226804068
audikw_1,544452143
Flan_1565,508690730
Queen_4147,2280540648
Dubcova1,1192765
wathen100,2540534
wathen120,3056490
Dubcova2,5168786
qa8fm,7108045
Trefethen_20000b,2845505
Trefethen_20000,2842877
bundle1,3562501
finan512,2683879
2cubes_sphere,8558423
shallow_water1,2269997
shallow_water2,2213132
Pres_Poisson,3190160
crystm02,1290915
crystm03,2524911
t2dah_e,916695
gyro_m,1514471
obstclae,1892282
torsion1,1892282
jnlbrng1,1753203
minsurfo,1646466
cvxbqp1,1999468
bodyy4,761172
bodyy5,759302
bodyy6,848580
bcsstk18,853386
cbuckle,3011220
nasasrb,13304145
smt,20889818
ship_001,17718039
crankseg_1,83178278
crankseg_2,114308320
thermal1,3913104
thermomech_TC,3835271
144,6484141
333SP,98693077
598a,4383412
AS365,106602987
GAP-road,308201399
G_n_pin_pout,4385985
M6,92750150
NACA0015,27881705
NLR,111557896
Oregon-1,88734
Oregon-2,184929
PGPgiantcompo,119700
Reuters911,699585
adaptive,103768912
ak2010,890814
al2010,6023745
ar2010,3735027
as-22july06,182552
as-Skitter,72842824
asia_osm,172213746
astro-ph,569961
auto,22857792
az2010,5955712
belgium_osm,18436648
bfly,578950
ca-AstroPh,1764320
ca-CondMat,437695
ca-HepPh,1203032
ca2010,17749251
caidaRouterLevel,2920253
cca,510036
ccc,404347
channel-500x100x100-b050,388326543
citationCiteseer,6434957
co2010,4115316
coAuthorsCiteseer,4190755
coAuthorsDBLP,6726327
coPapersCiteseer,124896057
coPapersDBLP,117438960
com-Amazon,5804106
com-DBLP,7471248
com-LiveJournal,352256231